Doc_ID,LHI_Score,Total_Summary_Entities,Hallucination_Count,Hallucinated_Entities
888,0.6,5,2,r. 15 [161 F H; 162 E F]; Central Provinces and Berar Forest Contract Rules
889,0.7727272727272727,22,5,"C.P.C.; Indian Railways Act; Dominion of India vs Firm Musaram Kishunprasad AIR 1950 Nagpur 85; E.I. Railway Administration, AIR 1941 Patna 326; Union of India AIR 1960 Madras 58"
890,N/A,0,0,
891,0.5789473684210527,38,16,"Bombay Act IV of 1902; Code of Criminal Procedure; a. 537; section I (2)(a); Abdul Kader vs Emperor (A.I.R. 1946 Cal; Abdul Rahim vs King Emperor ((1946) L.R. 73 I.A. 77; Banwari Gope vs Emperor (A.I.R. 1943 Patna 18); Daryoo Singh vs State (A.I.R. 1952 All. 59); Ilu vs Emperor (A.I.R. 1934 Cal, 847); Khabiruddin vs Emperor (A.I.R. 1943 Cal. 644); Kottaya vs Emperor (A.I.R. 1947 P.O. 67); Kshatri Ram Singh (A.I.R. 1941 Mad. 675); Mushtaq Hussain vs State of Bombay ([19531 S.C.R. 809); Nabi Khan vs Emperor (A.I.R. ;; Nabi Khan vs King Emperor (A.I.R. ,; Surendra Dinda vs Emperor (A.I.R. and Mathews vs Emperor (A.I.R. 1940 Lahore 87)"
892,0.8571428571428572,7,1,"West Bengal Estates Acquisition Act, 1953"
893,0.7391304347826086,23,6,239 Nagappa; Mahboob Saheb; Anantapur; Mahboob Saheb; N. Subbarayan Chowdhary; Anantapur
894,0.6551724137931034,29,10,"Rangarajan; 7.12.87; Bombay; Indian Constitution; AIR 1950 Bombay 210; Handyside vs United Kingdom, [1975I EHRR/737 at; Manohar vs Govt; Mutual Film Corporation vs Industrial Commission, (1915); Naraindas vs State of Madhya Pradesh; Whitney vs California, [274] U.S. 357, 375 378, 1927"
895,0.6666666666666667,15,5,R.S. Nos. 44/11 and 44/20; Kerala State; State of Madras; M.M.A. High School; Rule 5(b) and (c) or 6
896,1.0,2,0,
897,0.9285714285714286,14,1,"Union of India vs I. C. Lala etc., A.I.R. 1973 S.C. 2204=[1973] 3 SCR 818, 824"
898,0.8947368421052632,19,2,"Subordinate Judge, Machilipatnam; Mani Gopal Mitra vs The State of Bihar (1969) 2 S.C.R. 411"
899,0.7083333333333333,24,7,"0. 45, r. 7(1)(a); Order XII, r. 3; Supreme Court Rules, 1950; (1906) 11; Ghulam Rasul vs Ghulam Qutabud din, (1942) I.L.R.23 Lah.447,; Raja Kumar Govind Narayan Singh and others vs Shamlal Singh and others; Thota Pitchaiah Andhra 55"
900,0.5294117647058824,17,8,"section 302; section 302/149 and section 396; section 396; Arunachalam vs PSR Sadhananthan, ; ; State of 427 Madras vs; 3.02; 3.03; 3.05; 3.06"
901,0.8636363636363636,22,3,Rule 161(1)(a); [652BC] 2.1; r. 161(1)(a) and r. 161(1)(c)(ii)(1)
902,0.8823529411764706,34,4,proviso to section 3(1)(vii); Durden (1948) 2 Exch.22; Gardner vs Lucas (1878) 3 Appeals Cases 582; Moon vs
903,0.7878787878787878,33,7,"Babubhai T. Panchal; C.G.T.v; Chetty; C.E.D., vs Laxmi Bai; CED vs Jai Gopal Mehta; Rajamani Ammal vs Controller of Estate Duty and Control ler of Estate Duty vs Smt; Rajamani Ammal vs Controller of Estate Duty, ; Controller of Estate Duty vs Smt"
904,0.8571428571428572,7,1,Madras Court
905,0.9090909090909091,33,3,"Per Subba Rao; Popat vs Damodar, , Oppenbeim and Co. vs Mohmed Haneef, Mad. 496; Re Davidson 's Settlement Trust, (1873) L. R. 15 Eq. 383"
906,1.0,6,0,
907,0.8387096774193549,31,5,"Sub section (1)(a) of section 58; Mysore State Government; Per Kapur; Associated Provincial Picture Houses, Ltd. vs Wednesbury Corporation; King vs Willesden justices"
908,0.875,8,1,"Dwar Buksh Sirkar vs Fatik Jali I.L.R. 26 Calcutta 250 @ 253, 254"
909,1.0,18,0,
910,0.85,40,6,s 302; Cr.; Desai; 1(1973) 1 S.C.C. 20]; Qualcast (Wolverhampton) Ltd. vs Haynes L.R. 1959 A.C. 743; [1979] 3 SCR p. 355
911,0.6666666666666667,6,2,"R. T. Rangachari vs Secretary of State, AIR 1937 PC 27; [1963] 1 S.C.R. 778 @ 835, 836"
912,1.0,13,0,
913,1.0,9,0,
914,0.6363636363636364,11,4,item 1 in the Second Schedule; Andhra Pradesh General Sales Tax Act 1957; M/s.; [1974] 1 S.C.C. 459
915,0.8823529411764706,17,2,"Foley vs Hill, All E.R. Reprint 16 at 198; Jamma vs Reghu, AIR 1977 Orissa 12"
916,0.25,4,3,Order 39 rule 2(3); Code of Civil Procedure; Munsif
917,0.9230769230769231,26,2,s.14 (1)(e) or 14A; Slum Areas Improvement and Clearance) Act 1956
918,0.5555555555555556,9,4,High Court of Allahabad; section C. R. 319; Nathubhai vs Union; Province of Bombay vs Kusaldas section Advani
919,0.5,8,4,Andhra Pradesh Rent Control Act; Mahtura Prasad Bajoo Jaiswal; Dossibai N.B. Jeejeebhoy; Jagjit Singh
920,0.3846153846153846,13,8,Rule 126P(2) (ii) and (iv); section 120B; section 135; Customs Act; Defence of India Rules 1962; Indian Penal Code; Government of Andhra Pradesh and another vs Venkateswara Rao; Government of Andhra Pradesh vs Venkateswara Rao
921,0.8666666666666667,15,2,Shanti Devi vs; Sheikh Gufan vs S.K. Ganguli
922,0.75,12,3,"Union of India vs M/s. Godrej Soaps Pvt. Ltd., (S.L.P.No. 8144 of 1986); Union of India vs Rajnikant Bros. (Civil Appeal No. 1423 of 1984); Prakash"
923,0.85,20,3,"Industrial Tribunal, Ahmedabad; A.I.R. 1958 Mad. 398; Vasant Vithal Palse and Ors, v The Indian Hume Pipe Co. Ltd. and Anr"
924,0.8928571428571429,28,3,"101I.T.R. 658; Garden Silk Weaving Factory, C. I. T. vs Ram Swarup Gupta; Raj Narayan Aggarwala vs C.I.T., [1979] 75 ITR I (Del.)"
925,N/A,0,0,
926,0.85,20,3,"Burma Shell Oil Storage & Distributing Co. of India Ltd. vs Their Workmen; U. P. Elcctric Supply Co. Ltd. vs Their Workmen; U.P. Electric Supply Co. Ltd. vs Their Workmen, ; Surat Electricity Co 'section Staff Union vs Surat Electricity Co. Ltd."
927,0.8666666666666667,15,2,r. 2046; Indian Administration
928,0.8260869565217391,23,4,Additional District judge of Morena; Court at Morena; Gwalior Court; Constitution State of Madhya Bharat
929,0.8636363636363636,22,3,"Chatturam vs C.I.T., Bihar ([1947] F.C.R. 116); Fazal Dhala vs C.I.T., B. & O. ([1944] 12 I.T.R. 341); Whitney vs Commissioners of Inland Revenue ([1926] A.C. 37)"
930,0.5714285714285714,7,3,"Ss. 95 and 96 (2); section 96(2)(b)(ii); State of Haryana vs Darshan Devi & Ors., 1979 Accidents Claims Tribunal 205"
931,0.868421052631579,38,5,"Bombay Tenancy and Agricultural Lands (Vidarbha region; Kutch Area) Act (Tenancy Act); 15th May 1959; Supreme Court; Jayantraj Kanakanial Zambad vs Hari Dagdu, I.L.R."
932,0.8055555555555556,36,7,"Supreme Court; Chapter V A; Chapter V A. (534B D); Industrial Dispute Act.(523 G H, 524A, 525Z); Ruby General Insurance Co. Ltd. vs Chopra (P.P.), (1970) 2 Labour Law Journal, 63; State of Bombay and Ors; Surendra Kumar"
933,0.6666666666666667,9,3,"O. 21; r. 58; O.21, r. 58; C.P.C."
934,1.0,5,0,
935,0.9285714285714286,14,1,"T. 0., District IV"
936,0.6666666666666667,12,4,Clause 3(2)(a); clause 3; clause 3 (2) (a) and (b); clause 3(2) (a) and (b)
937,0.9,20,2,"section 12(2) and section 12(3) (a); Joy Chand Lal Babu vs Laksha Chaudhury, L.R. 76 I.A. 131"
938,0.8,5,1,"Jodh Singh V. Union of India & Anr., [1980] 4 S.C.C. 306"
939,0.8888888888888888,36,4,1985 p.679 680; provi 341; Companies Act 1349 H] 1.5 Merely; England
940,0.375,16,10,"Labour Appellate Tribunal; Supreme Court; article 136; Constitution; Kagazkar Mazdoor Union; Associated Cement Co: Ltd. vs Its Workmen , Management of Rajendra Mills Ltd. vs Their Workmen , The Workmen vs The National Tobacco Co. ,; Bombay vs Rashtriya Mill Mazdoor, Sangh, Bombay; G. F. Mills vs Its Workmen., A.I.R. 1958 S.C. 382; [1962] Supp. 2 S.C.R. 926; Bengai"
941,0.875,8,1,Clause (ii) of the proviso to
942,1.0,2,0,
943,0.7857142857142857,14,3,Central Civil Service; Greyhound Racing Assn; Kalindi
944,1.0,10,0,
945,0.6,20,8,"Item No. 15A; section 130 E(B) of the . 232; Central Excise Tariff Act; Customs Act; Customs Tariff Act; Collector vs Fancy Dying and Printing Works Bombay; Export India Corporation P. Ltd. vs Collector; Precise Impex P. Ltd. vs Collector, , of the Calcutta High Court"
946,0.8157894736842105,38,7,"section ll; sub clauses (a) to (d) of clause 4; Commissioner of Income tax vs Sadora Devi, 1957 (32) I.T.R. 615 @ 627 [1958] 1 I.S.C. 1; Englishman Ltd. vs Engineering Mazdoor Sang & Anr., A.I.R. 1975 S.C. p. 946 @ 949; Jerald Lord Strickland vs Carmelo Mifud Bonnici, A.I.R. 1935 P.C. 34; Trustees of the 'Tribune , State of Gujarat vs M/s Raipur Mfg. Co., [1967] 1 S.C.R. 618; of Income tax vs Lahore Electric Supply Co. Ltd."
947,0.7777777777777778,18,4,Bheemappa; Bheemappa; Kundgol Dharwad District; Kulkarni Watans(Abolition) Act 1950
948,1.0,19,0,
949,0.8666666666666667,15,2,Pepsu Ordinance of 2005; Patiala High Court
950,0.75,16,4,article 228; articles 19(1)(f) and 14; Act 91 of 1956; Indian Constitution
951,0.8461538461538461,26,4,"1987 Act; Indian Penal Code; Sessions Judge, Ahmadnagar; Usmanbhai Dawoodbhai Memon & Ors., vs State of Gujrat"
952,0.7333333333333334,30,8,Article 39(d) read with Article 14 and 16; F.R. 22(a)(i); CAs 299/88 & 300 301/88; CAs 317 30/87; 1.7.1983; 12th July 1002 1978; 3.11.1981; U.D.C.
953,0.9473684210526316,38,2,"Motor Vehicles Act; Newberry vs Simmonds, and Smart vs Allan & Anr"
954,0.625,8,3,"section C. 689; Constitution of India; Purushottam Lal Dhingra vs Union of India, (1958) S, C. R. 828"
955,1.0,21,0,
956,0.7721518987341772,79,18,"Central Act; New Manek Chand Spinning & Weaving Mills Co. Ltd.; State List of Schedule VII; Sub clause (1) of Section 115; AIR 1965 Patna 491; Anant Mills Co. Ltd. vs State of Gujarat & Ors; State of New South Wales vs The Brewery Employees Union of New South Wales; State of Orissa, AIR 1983 Orissa 210; State of Punjab & Ors., AIR; Waverly Jute Mills Co. Ltd. vs Raymon & Co. (1) Pvt. Ltd.; State; B.C. Ray; G.L. Oza; K.N. Singh; Ranganath Misra; section Natarajan; M.P. High Court; Petition No. 410/83"
957,0.8125,16,3,City Civil Court at Madras; High 392 Court; C.P.C.
958,0.6666666666666667,9,3,Cr; Cr.; Pathumma vs Mohammad
959,0.7272727272727273,11,3,"Entry 49, List II, VII Schedule; [338 BCE] (d) Schedule V; Constitution"
960,0.8076923076923077,26,5,"Gems Impex Corporation; section 110 read with section 123; supreme Court; Bal Kissen Kejriwal vs Collector of Customs Calcutta & ors., AIR 1962 Cal 460; M.A. Rasheed vs State of Kerala"
961,0.717948717948718,156,44,"General Electric Company; 16th to 30th month; July 1, 1977; June 30,1967 semi; Tamari; Court of Arbitration of International Chamber of Commerce; International Chamber of Commerce; Clause XVII; Sub clause (c) of clause 3 of Article III A; article III (a) 3(c) read with Article XIV B; conditions (3) and (6); section $ 21, 30, 785.52; sub clause a, b,c, of clause 3 of Article III and XIV B; Supreme Court; Awards Act; New York International; AIR 1958 see 506; AIR 1971 SC 2083 at 2085; Anderson Wright Ltd. vs Moran and Co. [1955] 1 SCR 862; Balabux Agarwalla vs Shree Luchminarain Manufacturing Co. ILR 1948 Calcutta; Becker Auto Radio 's case [1978] 585 Federal 2nd series page 39; Bihari Diwan Singh vs Jaffe & Sons, AIR 1922 Lahore 353; Commissioner of Income Tax vs M/s. Ogale Glass Works Ltd, ; 1 SCR 185; Commissioner of Income Tax vs M/s. Ogale Glass Works Ltd., AIR (1) SCR 185; Dalmia Dairy Industries Ltd vs National Bank of Pakistan [1978] 2 Lioyed LR 223; Dalmia Dairy Industries Ltd. vs National Bank of Pakistan [1978] 2 Lloyed L.R. 223; Dhanrajmal Gobindram vs Shamji Kalidas and Co., [1961] 3 SCR 1020; Dhiraj Lal vs Sir Jacob Behrens & Sons, AIR 1933 Allahabad 74; Fertilizer Corporation of India vs Chemical Construction Corporation 75 Bombay Law Reporter 335; Gaya Electric Supply Co. vs State of Bihar; , at 579 580; Ghewarchand vs Spinnerei, Baillng Ltd., AIR 1950 Calcutta 568; Heyman vs Darwin Ltd.[1942] AC 356; Keshav Mills Co. Ltd. vs Commissioner of Income Tax, AIR [1950] Bombay 166; M/s. Jagan Nath Phool Chand vs Union of India and Ors AIR 1982 Delhi 93; Monro vs Bognor Urban District Council, [1914 15] Reprint All England Report 523; NOVA (Jersey) Knit Ltd., vs Spinnerei, [1977] 2 All England Report 463; R.N. Ganekar and Co. vs Hindustan Wires Ltd. AIR 1974 SC 203=[1974]1 SCC 309 at 313 314; Vallabh Pitti vs Narsingdas, 65 Bombay; Vallabh Pitti vs Narsinpdas, 65 Bombay L.R. 20; Vasavani Navji vs KPC Spinners, AIR 1983 Madras 31; Wilesford vs Watson, [1873] L R. 8 Ch; Willesford vs Watson [1873] L.R. 8 Ch; [1967] 2 Llyod 's Rep. 353; 364; [1975] 2 All."
962,0.8571428571428572,7,1,"Mohomed Raisat Ali vs Musummat Hasin Banu, (1893) L,R. 2o I,A. 155"
963,0.5,6,3,Lucknow; U.P.; Commissioner of Sales Tax vs Hindustan Metal Works (1964) 15 STC 97 720
964,1.0,22,0,
965,1.0,4,0,
966,0.7037037037037037,27,8,"s.147(b); s.257; Ahmedabad vs Kasturbhai Lalbhai; Commissioner of Income Tax vs Raman & Company 67 I.T.R. Il(SC)=[1968] I SCR 10; Income Tax officer, Croup Circle 11(1); Maharaj Kamal Singh vs Commissioner of Income Tax 35 I.T.R. I (SC)= [1959] Sup; Kanpur; Sir Mir Osman Ali Khan Bahadur"
967,0.625,16,6,"Section 27 and r. 4; Property Act; Bai Brij Bai Krishna vs S.K. Shaw and Bros. [1951] S.C.R. 145; Karsandas vs Karsanji, A.I.R. (1953) Sau; Meghji Lakhamahi vs Furniture Workshop; Shri Hem Chand vs Shrimati Sham Devi, I.L.R. 1955) Punj"
968,1.0,4,0,
969,0.6666666666666667,21,7,", 156(3); section ,; I.P.C.; Proviso l(a), 1973; Nirmaljit Singh Hoon; State West Bengal; [1973] 3 section ,"
970,0.6666666666666667,18,6,"State of U.P.v; Ram Chandra Trivedi; Jagdish Mitter vs Union of India, A.I.R. 1964 S.C. 449; Madan Gopal vs The State of Punjab, [1963] 3 SCR 716; Shiva Bhikshuk Mishra and R. section Sial vs The State of U.P. and Ors; State of Bihar vs Gopi Kishore Prasad, A.I.R. 1960 SC 689"
971,0.9523809523809523,21,1,sub section (2) of section 23
972,1.0,7,0,
973,0.2857142857142857,14,10,"section 423; Chinta vs State of M. P.; Khushal Ram vs State of Bombay, [l958] S.C.R. 552; Puran vs State of Punjab A.I.R. 1953 S.C. 459; Ram Nath vs state of M. P. A.l; Suraj Pal Singh vs State, , Ajmer Singh vs State of Punjab; Cr. A. No. 178 of 59; Cr. A. No. 38 of 1960; R. 1953 S.C. 420; Khurshaid Hussain"
974,0.875,16,2,Income Tax Tribunal; England
975,0.8440366972477065,109,17,"Lahore; U.S.; Halsbury; Offutt; R.S. Nayak; S.K. Sarkar; High Court of Judicature at Lahore; State of West Bengal; IPC; 949 K.L. Gauba vs The Hon 'ble the Chief Justice and Judges or the; A.R. Antulay vs; AIR 1942 FC 1; Abdul Hassan Jauhar 's AIR 1926 Allahabad 623; Helmore vs Smith, at 455; Prem Chand Garg vs Excise Commissioner, U.P. Allahabad, [1963] Supp. 1 SCR 885; Rex vs Parke, [1903] 2 K.B. 432 at 442; [997B C] 952"
976,0.6923076923076923,13,4,Patiala; Government of the Union Territory of Chandigarh; Rattan Lal and Co.; AIR 1970 S.C 1742
977,0.736842105263158,38,10,Chaganlal Textile Mills Pvt; Hirji Textile Mills; Provident Fund Act; Appeal No.406/64; New Ahmedabad v Bansidar Mills Pvt Ltd. Ahmedabad vs Union of India & Ors; Regional Provident Fund Commissioner West Bengal & Ors. ; 518 Robindra Textile Mills vs Secretary Ministry of Labour Govt; Jamnadas Agarwala; Y.P.A. Bhaskar; India New Delhi; Punjab
978,0.8823529411764706,17,2,Medical Coun cil of; G.L. Oza
979,0.33333333333333337,9,6,"101 776; section 5, cl; Manjhil Lal Biswanath Shah Deo; Shaikh Mohiuddin; I.L.R. Babu Bairo Nath Ray vs; Shanke Pahan"
980,1.0,16,0,
981,1.0,7,0,
982,0.7777777777777778,9,2,law 29; District Co operative Bank
983,0.7,10,3,Government of Uttar Pradesh; cl. 9 (7); U.P.
984,0.25,8,6,"s.32 (3); Evidence Act; Raman Bijoy; Srimati Savitri Debi; L.R. (1949) LXXVI I.A. 255,Tucker; Ward vs H. section Pitt"
985,1.0,5,0,
986,0.7,10,3,section 302 read with section 34; I.P.C.; A.I.R. 1949 Mad 508
987,0.7777777777777778,9,2,Order No. 643 HTE; Jammu & Kashmir Constitution
988,1.0,12,0,
989,0.935483870967742,31,2,"20.3.63; Dundee Harbour Trustees vs D. & J. Nicol, [1915] A.C. 550"
990,0.75,24,6,"Bam Kirpal Sukul vs Mussamat Rup Kueri ([1884] 11 I.A. 37); Gurdeo Singh vs Chandrika Singh ([1909] I.L.R. ,; Lakhmichand and others vs Madho Rao ([1930] I.L.R. 52 All; Ledgard and Another vs Bull ([1886] 13 I.A. 134; Raghubir Saran vs Horilal and Another ([1931] I.L.R. 53 All; Rajlakshmi Dasi vs Katyayannee ([1911] I.L.R. and"
991,0.7857142857142857,42,9,"Bihar Legislature; Searchlight of Patna; 19(1)(a); article 194(3) or of; articles 194(3) and 105(3); Anand Bihayi Mishra vs Ram Sahay, A.I.R. (1952) M.B. 31; Arnold vs King Emperor, (1914) L.R. 41 I.A. 149; Gunapati Keshavyam Reddy vs Nafisul Hasan, A.I.R. (1954) S.C. 636; Ramjilal vs Income tax Officer, Mohindergarh, [1951] S.C.R. a 127"
992,0.75,8,2,"section K. Das,; Per Kapur"
993,1.0,2,0,
994,0.8,5,1,10th of the following month
995,0.9428571428571428,35,2,May 16.; State of Rajasthan vs Mukanchand
996,0.5555555555555556,9,4,Sections 36 and 42; sections 304 A and 218/109; Penal Code; C. Held
997,1.0,10,0,
998,0.8571428571428572,21,3,"Indian Income tax Act, 1922; Indian Income tax Act,1922.; Shah"
999,0.8125,16,3,1946 Act; I946 Act; section 48 of 953
1000,1.0,2,0,
1001,0.6862745098039216,51,16,"1.01; 1.02; 1.03; 1.05; 2.01; 2.02; 2.03; 2.04; 2.05; 2.06; 2.08; 2.09; A.S. Anand; [608 A] 587; sovereign immunity 584; Rudul Sah vs State of Bihar and Another, [1983] 3 S.C.R. 508"
1002,0.8627450980392157,51,7,"CaS. 214; Clause 3(5), read with Cl. 20; article 30(1) and the fourth, cl. 33; articles 337 and 29(2); Cumberland Coal Co. vs Board of Revision, (1931) 284 U. section 23; Mohd. Hanif Ouareshi vs The State of Bihar, [1959] section C. R. 629; [1951] S.C.R. 525"
1003,1.0,2,0,
1004,0.7142857142857143,14,4,Supreme Court; A. Younus Kunju vs R. section Unni ond Ors.[1984] 3 S.C C. 346 (p. 349; Daulat Ram Chauhan vs Anand Sharma; Manmohan Kalia vs Yash and Ors
1005,0.7058823529411764,17,5,"Alipore; Section 361, Section 360; Ediga Annamma vs State of A.P. , Rajendra Prasad vs State of U.P.; Furman vs Georgia, 33 Lawyers Edn.; Furman vs Georgia, ; Edn. 346"
1006,0.8666666666666667,15,2,"Labour Appellate Tribunal; Messrs Burn and Co. Ltd., Calcutta vs Their Workmen, (Civil Appeal No. 325 of 1955"
1007,0.7333333333333334,15,4,"SCR 292; Employees ' State Insurance Act; Employees ' State Insurance Act, 1943; Ardeshir H. Bhiwandiwala vs The State of Bombay, [1961] 3 H 836 SCR 592"
1008,1.0,5,0,
1009,0.8888888888888888,9,1,Supreme Court
1010,0.631578947368421,19,7,"Anwar Hossein vs Secretary of 875 State for India, at 892; Brundaban Chandra vs Ananta Narayan Singh Deo, AIR 1956 Orissa 151; Devi Charan vs Durga Porshad Chanu Lal & Ors., AIR 1967 Delhi 128 at 132; Efari Dasya vs Podei Dasya, ILR at 486; Finch vs Finch, 1 P & D 371; Kaikhushru Jehangir vs Bai Bachubai Jehangir Jullundur vs Dev Raj Vir Bhan & Anr., AIR 1963 Pun. 208; Satya Charan Pal vs Asutosh Pal & Ors., AIR 1953 Cal"
1011,0.7083333333333333,24,7,"Indian Companies Act; Bilasrai Joharmal and Ors; Escorts Ltd. and Ors., AIR 1986 SC 547 1370; Kedar Nath Agarwal vs Jay Engg; Life Insurance Corporation of India vs; Re Jermyn Street Turkish Baths Ltd., [1970] 3 All E.R. 37; Re Meyer Dougals Pty Ltd., [1965] V.R. 638"
1012,0.75,8,2,clause (b); sub section (1) of Section 3
1013,0.9285714285714286,14,1,sec.
1014,1.0,2,0,
1015,0.875,8,1,"Delhi Rent Control Act, 1958"
1016,1.0,9,0,
1017,1.0,3,0,
1018,0.6,5,2,r. 109 of (1) ; ; 735; Hafiz Mohammad Sanii and others vs Emperor (A.I.R. 1931 Patna 15O)
1019,1.0,4,0,
1020,0.8333333333333334,18,3,"Tamil Nadu Act; Gorieb vs Fox, [1926] 71 Lawyers Edition; State of Madhya Pradesh vs Kanhaiyalal, 1970 (15) M.P.L.U SC 973"
1021,0.8888888888888888,27,3,"tenancy Act, 1948; 1.4.1957; Parvati & Ors vs Fatehsinhrao Pratapsinghrao Gaekwad"
1022,0.95,20,1,"Metal Forgings Pvt. Ltd. vs Union of India, [1985] 20 E.L.T. approved"
1023,0.8279569892473118,93,16,"Registration Act; Transfer of Property Act; May 23.; CA 219182; CA No. 219182; AIR 1449 PC 311; Commissioner of Sales tax, M.P. v Purshottam Premji [1970] 26 STC 38, 41 S.C.; ILR 1949 Nagpur 892; K.L. Johar & Co vs Deputy Commercial Tax Officer; Krupasindhu Sahu & Sons vs State of Orissa [1975] 35 STC 270; Shantabai vs State of Bombay & Orissa ; 275 6; Shantabai vs State of Bombay & Ors; U.O.I. vs K.S. Subramanian [1977]1 SCR 87, 92; Bhopal Sugar Industries Ltd.; Board of Revenue; State of Maharashtra"
1024,0.7692307692307692,13,3,Bipin; Bipin; Pushpa
1025,0.8888888888888888,9,1,Income tax Appellate Tribunal
1026,0.6666666666666667,6,2,19 '57 58; C.I.T. West Bengal vs Aluminum Corporation
1027,0.8095238095238095,21,4,"Conservator of Forest, Bihar; 27, 1970; Constitution; Somasundaram Pillai vs Provincial Government of Madras, A.I.R. 1947 Madras, 366"
1028,0.8333333333333334,6,1,article 14 or 19(1)(f)
1029,0.8823529411764706,17,2,s.25FF; Industrial Disputes Act
1030,0.7857142857142857,14,3,"Section 3(h),is an; clause 4 of sec; V.Baluswamy Servai vs N. Raju Servai ; R Vijendra vs H. R. & A"
1031,0.7142857142857143,7,2,section C. Mazumdar; Supreme Court
1032,0.8333333333333334,6,1,Motor Vehicles Act of 1939
1033,0.72,25,7,"section 302, read with section 149; section 34 and section 149; Bamasray Ahir vs King Emperor ( Patna 484; Barendra Kumar Ghosh vs Emperor ( (1925] I.L.R. 52 Cal. 197; Queen vs Sabid Ali and others ( [1873] 20 W.R. (Cr.) 5); Sheo Ram and Others vs Emperor (A.I.R. 1948 All. 162); Taikkottathil Kunheen ( [1923] 18 L.W. 946)"
1034,1.0,9,0,
1035,0.9230769230769231,13,1,"November 26, 1960"
1036,0.9444444444444444,18,1,D.A. Desai
1037,0.9310344827586207,29,2,Art.32; Defence of India Act
1038,0.6875,32,10,"Bombay Merged Territories and Areas (Jagirs Abolition) Act 1953; Central Railway, Vijayawada; [572F] Section 11(3); o. 41, r. 22; section 16 read with section 17; Gujarat; Vaktsinghji Sursinghji Baghela R. D. Suryanarayana Rao vs The Revenue Divisional officer, Land Acquisition officer, Guntur; Bagyat Kas; Kesireddi Appala Swamy; A.I.R. 1970 A.P. 139 (approved) (3) Section 22"
1039,0.8181818181818181,22,4,"[337C] 1.2 Section 125(1)(d); Code of Criminal Procedure, 1973; M. Areera Beevi vs Dr. K.M. Sahib; W.R. 393"
1040,0.8333333333333334,6,1,21.10.1983
1041,0.8125,16,3,Service Regulation 20; Punjab National Bank; Raj Kumar vs Union of India
1042,0.8571428571428572,7,1,"U.P. Large Land Holdings Act, 1957"
1043,0.7857142857142857,14,3,Karta; I.T. Act 1961; [278C] 274 5
1044,0.6,10,4,"section 13(1) proviso (b) and (c); Delhi and Ajmer Rent Control Act, 1952; Helman vs Horsham Assessment Committee, [1949] 2 K.B. 335,referred; Grabbe"
1045,0.7142857142857143,14,4,Article 136; Constitution; 27.2; Supreme Court
1046,0.9166666666666666,36,3,"Section III(d); Dunlop India Ltd. vs Union of India & Ors; Grenfell vs Inland Revenue Commissioner, , 248"
1047,N/A,0,0,
1048,0.7142857142857143,7,2,"U.K.; Oriental Gas Company Ltd. vs Their Workmen, and Bareilly, Electricity Supply Co. Ltd. vs The Workmen & Ors"
1049,1.0,15,0,
1050,0.9166666666666666,24,2,"Bhagirath Ram Chand vs State of Punjab, A.I.R. 1954 Pun. 167; Megh Raj vs Allah Rakhi, (1946) L.R. 74 I.A. 12"
1051,0.8666666666666667,15,2,5 7 76; Darbhanga
1052,0.525,40,19,"Chand Kanwar; Dakho; G; Jeoraj; K; Morari Lal; P; (1947) L. R. 74; Jiwaraj vs Mst; Lakhmi Chand vs Gatto Bai, All. 319; Maharajah Govind nath Ray vs Gulal Chand, (1833) 5 Sel; Mangibai Gulabchand vs Suganchand Bhikamchand, A.I.R. (1948) P. C. 177; Prasad All, 2 47; Pratapmull Agarwalla vs Dhanabati Bibi, (1935) L.R. 63 I.A. 33; Rama Rao vs Raja of Pittapur, (1918) L. R. 43 1; Rup Chand vs Jambu; Sheo Singh Rai vs Mst; Sheokuarbai vs; Sheokuwarbai, A.I.R. (1920) Nag. 162"
1053,0.5909090909090908,22,9,"Supreme Court; Cr.; P.; Dalip Singh vs State of Punjab ([1954] S.C.R. 145); Kapildeo Singh v, The King ([1949 50] F.C.R. 834); King vs Plummer ([1902] 2 K.B. 339); Queen vs Thompson ([1851] 16 Q.B. 832; Topan Das vs State of Bombay ([1955] 2 S.C.R. 881; Topan Das vs The State of Bombay ([1955] 2 S.C.R. 881)"
1054,0.6428571428571428,14,5,Fundamental Rule 22 (a) (ii); Rule 5(2); article 226; D. Krishnamurthy & Ors vs State of Andhra Pradesh & Anr; D. Krusgbanurthy
1055,0.8571428571428572,7,1,549(4)
1056,0.9523809523809523,21,1,C.P.C.
1057,0.8,5,1,"Lok Sabha"".a within"
1058,0.75,16,4,Additional Judge (Revision) Sales Tax; . 3; Karan Chand Thappar & Bros. Ltd. [1969] IS.C.R. 861; [1959]S.C.R. 379
1059,0.8846153846153846,26,3,. 834 (ii); Act 10 of 1960) section 15; 1.L.R. 31 All 623
1060,0.896551724137931,29,3,Universi ty College; Ant; SCC 658
1061,0.875,8,1,"Commissioner of Income Tax, U.P. vs Kanpur Coal Syndicate"
1062,0.8,10,2,Supreme Court; Constitution
