Doc_ID,LHI_Score,Total_Summary_Entities,Hallucination_Count,Hallucinated_Entities
321,0.75,32,8,"Bhavani Tea and Produce Co.; Sholyar village; Kerala Private Forests (Vesting & Assignment) Act, 1971; Kerala Reforms Act; Madras preservation of Private Forest Act; Gwalior Rayon Silk; Kannan Devan Hills Produce vs The State of Kerala and Anr; V. Venugopala Verma Rajaa vs Controller of Estate Duty, Kerala"
322,0.46478873239436624,71,38,"State of Gujarat; Tlnsukhia; Dibrugarh Municipal Boards; Dihrugarh Company; Godra Electricity Co. Ltd.; Dibrugarh Electric Supply Undertaking (Acquisition) Act, '1973; Indian Railways Act, 1910; Tinsukhia & Dibrugarh Electric Supply Undertakings (Acquisi tion) Act, 1973; 31 C; Article 31(b) and (c); Sec tion 11(3); Section 2(h); Section 5(2), 6(7) and 7 A; Sections 9 and 10; article 31 A or 31 C; sub sections (1) and (2) of section 10; L. Abu Kavar Bai; Natara jan; R.S. Pathak; M.N. Venkatachaliah; Mukharji; Ranganathan; 548 Eswari Khetan Sugar Mills vs State of U.P.; Akadasi Padhart vs State of Orissa and Ors; Charles Russel vs The Queen, [1882] VII AC 829; Dakor Umreth Electricity Co. Ltd. vs State of Gujarat; Fawcet Properties vs Buckingham County Council, [1960] 3 AII.E.R. 503; Fazilka Electric Supply Co. Ltd. vs The Commissioner of Income Tax, Delhi, [1962] Suppl; Fergusan vs Skrupa; Gwalior Rayon vs Union of India, ; 671; Kesavananda Bharati vs State of Kerala, [1973] Suppl; Kesavananda Bharati vs State of Kerala; [1973] Suppl; Manchester Ship Canal Co. vs Manchester Race Course Co.; Sanjeer Coke Mfg. Co. vs Bharat Coking Coal Ltd. & Anr; Sanjeev Coke Mfg. Co. vs Bharat Coking COal Ltd.; State of Tamil Nadu vs; W.S. Holdsworth Vol. 33 Harvard law Review; Patna Electrici ty Supply Co. Ltd."
323,0.2222222222222222,9,7,"Mabomedan Law; Baboo Ram Golam Singh vs Nursing Sahoy & others, (1875) XXV Weekly Reporter (Sutherland) 43; Bhagwati Prasad vs Balgobind, A.I.R. 1933 Oudh 161; Dashrathlal Chhaganlal vs Bai Dhondubai, I.L.R. [1941] Bombay 460; Oudh Behari Singh vs Gajadhar Jaipuriya, A.I.R. 1955 All. 698; Phul Mohammad Khan vs Quazi Kutubuddin, I.L.R. [1937] 16 Pat; Rameshwar Lal Marwari vs Pandit Ramdeo, A.I.R. 1957.Patna, 695"
324,0.5555555555555556,9,4,"Supreme Court; Sri Sri Shiba Prasad Singh vs Maharaja Srish Chandra Nandi, (1949) L.R. 76 I.A. 244; Surajmull Nargoremull vs Triton Insurance Company Ltd., (1924) L.R. 52 I.A. 126; U.Sein Po vs U. Phyu, Rang"
325,0.0,2,2,"Mill Owners Association, Bombay vs The Rashtriya Mill Mazdoor Sangh, Bombay; Shalimar Rope Works Mazdoor Union Howrah vs Shalimar Rope Works Ltd., Howrah"
326,0.7777777777777778,27,6,"Sub section (4) of section 8; Ahmeda bad St. Xavier 's College Society vs State of Gujarat; D.A.V. College vs State of Punjab, [1971] Suppl; Frank Anthony Public School Employees Association vs Union of India; S.S. Jain Sabha vs Union of India, [ILR (1976) 2 Del. 61]; St. Xavier 's"
327,0.8,10,2,"Hindustan Steel Ltd. vs State of Orissa, 25 S.T.C. 211; Hindustan Sugar Mills vs State of Rajasthan"
328,0.4285714285714286,7,4,"Hari Vishnu Kamnath vs Ahmad Syed Isak & Ors., A.I.R. 1954 Nagpur 166; Observer Publications P. Ltd. vs Railway Board, Ministry of Railways, Govt; India; New Delhi"
329,0.2857142857142857,7,5,Supreme Court; New Prakash Transport Co. Ltd. vs New Suwvarna Transport Co. Ltd.; Sasa Musa Sugar Works (P) Ltd. vs Shobrati Khan C.As; Union of India vs T. R. Varma [1958] S.C.R. 499; 29 4 1959
330,0.5625,16,7,"section II7R; Bombay Land Revenue Code, i879; Bombay Taluqdari Tenure Abolition Act, 1949; Gujrat Taluqdars Act; Gujrat Taluqdars Act, 1888; Gujrat Taluqdars Act, 1888 (Bom; Taluqdar"
331,0.15384615384615385,13,11,"Civil Appeal No. 563 of 1975; Civil Appeal No. 564 of 1975; Central Bank Ltd.; Loss Equalisation and Capital Redemption Reserve Fund; Additional Industrial Tribunal, Andhra Pradesh & Ors; Chowringhee Sales Bureau P. Ltd. vs Commissioner of Income tax West Bengal; Dr. Indramani Pyarelal Gupta vs W.R. Nathu and others; Income tax Officer, Alleppey vs M.C. Poonnoose and Ors; Punjab Distilling Industries Ltd. vs Commissioner of Income tax Simla; Hukam Chand; Union of India"
332,0.6190476190476191,21,8,Entry 48 Of List II; Sub sections (1) and (2) of section 6; Act XVl of 1949; Central Provinces and Berar Sales Tax Act; tile Act; State of Madras vs Gannon Dunkerley & Co. (Madras) Ltd.; Das; section K. Das
333,0.6,20,8,"Appellant Improvement Trust; Land Acquisition Tribunal; Land Acquisi tion Act, 1894; Appeal (No. 1894 of 1990; C.A. No. 1894 of 1990; Civil Appeal No. 1894 of 1990; section 527 23(2); Union of India vs Filip Tiago De Gama, J.T. 1989 4 S.C. 529"
334,0.6153846153846154,13,5,"Pithoragrh; State of Uttar Pradesh; clause (ii) of the section 19; District Judge, Delhi; Subordinate Judge, Class l, Delhi"
335,0.8571428571428572,14,2,Banu Dadiba Boatwalla; Commissioner of Gift Tax vs Nani Gopal Mondal
336,0.7647058823529411,17,4,"Tamil Nadu Additional Sales Tax (Act II) of 1976; Tamil Nadu Additional Sales Tax Act, (Act XIV of 1970); proviso to Section; s Pharma Associates and others vs State of Bihar"
337,0.5384615384615384,13,6,"sub section (2) of section; C.I.T. Bombay vs Manilal Dhanji; C.I.T. Bombay vs Manual Dhanji; C.I.T. Bombay vs Sir Mahomed Yusuf Ismail, [1944] 12 I.T.R. 8; Gujarat vs Keshavlal Lallubhai Patel, and; C.I.T., West Bengal II vs Prem Bhai Parekh (b); Tulsidas Kilachand"
338,0.4545454545454546,11,6,"sections 167(8) and 167(39); 1111 William N. McFeyland vs American Sugar Refining Co.; A. Thangal Kunju, Musaliar vs M. Venkitachalam Potti and another (1955) 2 S.C.R. ii96; Budhan Chaudhury and Others vs The State of Bihar, (1955) I S.C.R. 1045; Purshottam Govindji Halai vs Shri B. M. Desai; W. D. Manley vs State of Georgia, (1929) 279 U.S. I and Tot vs United States"
339,0.9230769230769231,13,1,States of West Bengal
340,0.7058823529411764,17,5,"Bigamy; Hindu Marriage Act; Himachal Pradesh Administration, [1966]1 S.C.R. 539; Priya Bala Ghosh vs Suresh Chandra Ghosh; [1973]3 S.C.R. 961; [1965]2 S.C.R. 837"
341,0.5,26,13,"Article 22(3)(b); Article 22(7) (c); Subsection (3) of section 11; section 8(e); sub section (1) of section 11; sub section (2) of section 3; Prevention of Black marketing and Maintenance of Supplies of Essential Commodities Act, 1980; Prevention of Black marketing and Maintenance of Supplies of Essential Commodities Act, 1980 (PBMSECA); E.P. Royappa vs Tamil Nadu; Francis Coralie Mullin vs The Administrator, Union Territory of Delhi and Ors; Kavita vs The State of Maharashtra & Ors., [1982] 1 SCR p. 138; Maneka Gandhi vs Union of India; [1978] 2 SCR 621"
342,0.8888888888888888,9,1,Clause (4)
343,0.30000000000000004,10,7,"August 29, 1962; January 28, 1930; October 1, 1960; Article 144; article 134B; Srinivas vs Ramaswami, [19661 3 S.C.R. 120; Srinivas vs Ramaswami,[1966]3 S.C R 120"
344,0.4666666666666667,15,8,article 22; Prevention of Detention Act; Preventive Detention Act; Dr. Ram Krishan Bhardwaj vs The State of Delhi; Dr. Ram Manohar Lohia vs State of Bihar; Shibban Lal Saksena vs The State of Uttar Pradesh; State of Bombay vs Atma Ram; Sridhar Vaidya
345,0.5882352941176471,17,7,Sec.; Sec. 4 (1); Sec. 6; sec.; Land Acquisition Act of 1894; R.K. Kannaujia; State of Punjab vs Gurdial Singh & Ors
346,0.736842105263158,19,5,"C.D.; Julv 15, 1961; March 24, 1964; Madras Hindu Religious and Charitable Endowments Act XIX of 1959; Government of June 5, 1962"
347,0.33333333333333337,15,10,271(1)(c); s.256( D; s.27 1(1); s.27 1(1)(c); sec tion 256(2); sec tion 274 read with section 271; sec.; section 27 1; section 271(D(c) read with section 274(2); Tribu nal
348,0.4285714285714286,7,4,Rules 61; proviso to r. 61; r. 61; Prevention of Food Adulteration Act
349,0.6363636363636364,11,4,"Bombay Tenancy & Agriculture (Vidarbha Region) Act, 1958; Bombay Tenancy and Agricultural Lands (Vidarbha Region) Act, 1958; Tenancy Act; sub section"
350,0.7333333333333334,30,8,"Section 3 (2); Section 5 A; section 3 (2); Alijan Mian V. District Magistrate, Dhanbad and Others [1983] 4 S.C.C. p 301; Dr. Ram Manohar Lohia vs State of Bihar & Ors Arun Ghosh vs State of West Bengal; Jaya Mala vs Home Secretary Govt; Kamlakar Prasad Chaturvedi vs State of M.P. and An other; [1983] 4 S.C.C. 433"
351,0.5185185185185186,27,13,Per Kailasam; Per Sarkaria; Criminal Procedure Code (Amendment) Act 1955 (Act 26 of 1955); Ambaram vs The State of Madhya Pradesh; Amritsar Municipality vs Hazara Singh A.I.R.; Balwant Singh vs State of Punjab [1976] 2 S.C.R. 684; Jagmohan Singh vs State of U.P.; Quinn vs Leatham 1901 A.C. 495; Rajendra Prasad vs State of U.P.; Sarveshwar Prasad Sharma vs Slate of Madhya Pradesh [1978] I S.C.R. 560; Tribhuvandas vs Ratilal ; = 70 Bom; 20 409SCI/79 1194; Dubey
352,0.625,8,3,s.25G; 1.1; l. l. 1981
353,0.3978494623655914,93,56,"Art 246(3); Entry 33 of List II; Entry 54 of the List II; List III as well as List I.; Lists I and II; Paragraph 21; Sub section (l) of section S; article 19(1)(g); article 254(iii); articles 200 and 201; l) of 131 section 3; section 5(1); section Kodar; sub s.(l); sub section (3) of 137 section 5; sub section (I) of section 5; Bihar Finance Bill, 1981; Commodities Act, 1955; Constitutional Law of India; Drugs (Price Control) Order; Drugs (Price Control) Order, 1919; Drugs (Price Control) order; State of Madhya Pradesh; Centrals Government; [1955] I S.C.R. 380; [1979]1 S.C.R. 121; Anr; Podar; Teh Chang Poh @ Char Meh; A. V fernandez vs State of Kerala.[1957] S.C.R. 837; A. V. Fernandez vs State of Kerala; A. section Krishna vs State of Madras, [1957] S.C.R. 399; A.L.S.P.P.L. Subrahmanyam Chettiar vs Muttuswami Goundan; Central Provinces and Berar Sales of Motor Spirit and Lubricants Taxation Act, 1938; Citizen Insurance Company vs William Parsons; Clyde Engineering C xf8; Deep Chand vs State of Uttar Pradesh & Ors [1959] Supp. 2 S.C.R. 8 Ch; Governor General in Council vs Province of Madras; Grand Trunk Railway Company of Canada vs Attorney General of Canada, L R [19071 A.C. 65; J. K Judge Mills Co. Ltd. vs 'The State of Uttar Pradesh; Ltd. vs Cowburn, [1926] 37 Com; M. Karunanidhi vs Union of India; M.P. Sundararamier and Co. vs State of Andhra Pradesh and Anr; Prag Ice & oil Mills vs Union of India; Province of Madras vs Messers Boddu Paidanna & Sons, , Prafulla Kumar Mukherjee & Ors vs Bank of Commerce Ltd., Khulna, A.I.R.; Shree Meenakshi Mills Ltd. vs Union of India; State of Bombay vs R.M.D. Chamarbaugwala; Stock Motor Ploughs Limited vs Forsyth; T. Barai vs Henry Ah Hoe, [1983] I S.C.C. 177; Tata Iron & Steel Co., Ltd. vs The State of Bihar; Tata Iron and Steel Company Ltd. vs State of Bihar; Tika Ramji & ors vs State of Uttar Pradesh & Ors; section Kodar vs State of Kerala, [1975] I S.C.R. 121; section Kodar vs State of Kerla, [1975] I S.C.R. 121; zaverbhai Amidas vs State of Bombay, [1955] I S.C.R. 799; State of Madhya Pradesh"
354,0.2857142857142857,7,5,"Fateh Chand vs Balkishan Dass; Kunwar Chiranjit Singh vs Har Swarup, A.I.R. 1926 P.C. 1; Manian Patter vs Madras Railway Company, Mad. 188; Natesa Aiyar vs Appavu Padayachi, (1913) LL.R. 38 Mad; Singer Manufacturing Co. vs Raja Prosad, Cal"
355,0.6666666666666667,12,4,"s.30; section 13(6); sections 30(4), 30, 39 and 40; U.P. Urban Buildings (Regulation of Letting, Rent & Eviction) Act, 1972"
356,0.5806451612903225,31,13,"s.11 (1); (lV Of 1950); amending Act Of 1951; Union of India; 462 Per Sarkar; A. K. Gopalan vs The State of Madras; A. K. Gopalan vs The State of Madyas; Dattalreya Moreshwar Pangarkay vs; Dattatreya Moreshway Pangaykar vs State of Bombay; Lawrence Joachim Joseph D 'Souza vs The State of Bombay; Makhan Singh Tarsikka vs State of Punjab; Makhan Singh Tarsikka vs The State of Punjab, (1952) S.C.R. 368; State of Bombay vs Atma Ram Sridhay Vaidya"
357,1.0,2,0,
358,0.5714285714285714,7,3,"Gujarat Engineering Co. vs Ahmedabad Misc; Industrial Workers ' Union, and Kodaneri Estate vs Its Work men; SouthIndia Millowners""Association vs Coimbatore District Textile Workers 'Union"
359,0.368421052631579,19,12,"clause (ffa) of section 104(1); Civil Procedure Cede; AIR 1983 Kerala 5; AIR 1987 Punjab and Haryana 108; Ambrish Kumar Singh vs Raja Abhushan Bran Bramhshan and Others, AIR 1989 All 194; Gurdwara Prabandhak Committee, Delhi Cantonment and Others vs Amarjit Singh Sabharwal and Others; I. V. Mathew vs K.V. 268 Thomas; Lachhman Dass Udasi (deceased by L. RS.); Mahant Pragdasji Guru Bhagwandasji vs Patel Ishwarlal Bhai Narsibhai and Others; Mayer Simon Perur vs Advocate General of Kerala; Prithipal Singh vs Magh Singh and Others, AIR 1982 Punjab & Haryana 137; T.N. Shanmugam and Others vs The Periyar Self Respect Propaganda Institution and Others, [1984] II MLJ 440"
360,0.9285714285714286,14,1,State Bank Officers ' Association
361,0.5714285714285714,7,3,"All India Postal R. M. section Union; March 6, 1961; Rent Control Law"
362,0.75,12,3,Ambala Jail; s.28; Per Dayal
363,0.75,12,3,DAS; MEHR CHAND MAHAJAN; Indian Constitution
364,0.641025641025641,39,14,"Section 100; Section 71; section 55; sections 2(16), 2(36), 9(1), 51 and 55; sections 54 and 39; No. 259 1987(R); No. 25X of 1987(R); P.C. 1973; Municipal Corporation of Delhi vs P.D. Jhunjunwala; Municipal Corporation of Delhi vs R.K. Rohtagi; Omprakash Gupta vs PG NO 458 Slate of U. P.; Sanford H. Kudish vs The Free Press, Collier Mac Millan Publishers; State of Bombay vs section L. Apte & Anr; State of Madhya Pradesh vs Veereshwar Rao Agnihotry"
365,0.5,46,23,"2.01; 2.05; A.I. Act 16 of 1991; Act24 of 1984; Amending Act 24 of 1984; Andhra Pradesh Entertainment Tax Act, 1989; Andhra Pradesh Entertainments Tax Act, 1939; Article 19(1) (g); Article 19(6); section 4(1),as substituted; sub section (16) of section 5; subsection (6A); 621 East India Tobacco Co vs State of A.P.; AIR 1959 SC 894; Gannon Dunkerley, and Co. vs State of Rajasthan, at 397; Khandige Sham Bhat vs Agricultural Income Tax Officer; P.M. Ashwathanarayana Shetty vs State of Karnataka; San Antonio Independent School District vs Bodriques; Twyford Tea Co. Ltd. & Anr vs The State of Kerala & Anr; Western India Theatres vs Cantonment Board, [1959] Supp. 2 SCR 63; Western India Theatres vs Cantonment Board. [1959] Supp. 2 SCR 63; Y.V. Srinivasamurthy vs State of Mysor; [1988] Supp.3 SCR 155"
366,0.5,12,6,"Registrar of Public Trust, Amraoti; Ganjanan Maharaj Sansthan; (M.P.) Public Trusts Act, 1951; C.P.C.; Bhagchand Dagadusa vs Secretary of State for India in Coun cil and others , Prasaddas vs Bennerjee I.L.R.; Sawai Singhai Nirmal Chand vs Union of India"
367,0.7142857142857143,7,2,rule 8 of Part C. [790 B D] 1.2; Constitution
368,0.8571428571428572,21,3,section 3(e); sections 45(f) and 180; Custodian of Evacuee Property
369,0.5813953488372092,43,18,"Section 10(I); s.16(1)(a); A Education Act; Removal of Difficulties; Selection Boards Act, 1382; Service Commission Act; Services Commission Act, 1982; U.P. Intermediate Education Act, 1321; Committee of Management of the College; Secondary Education Services Commission; 2628 and 2696 of 1985; 41)91 92 of 1985; Special Leave Petition No. 9542 of 1385; Writ Petition No. 10301 of 1983; Committee of Management, National Intermediate College Adali Indara, District Azamgarh vs The District Inspector of Schools, Azamgarh, (1983 U.P. Local Bodies & Educational Cases 198); Raghunandan Prasad Bhatnagar vs Administrator, Gandhi Vidyalaya Intermediate College, Khekra; Raghunandan Prasad Bhatnagar vs Administrator, Gandhi Vidyalaya lntermediate College, Khekra; Ratan Pal Singh vs Deputy Director of Education, (1983 U.P. Local Bodies & Educational Cases 34)"
370,0.7,10,3,"A. & W. Nesbitt Ltd. vs Mitchell, (1926) "" Tax Cas. 217; Eglinton Silica Brick Co. Ltd. vs Maryian, (1924) 9 Tax Cas. 92; Kirke 's Trustees vs The Commissioners of lnland Revenue"
371,0.6666666666666667,12,4,C.J. FAZL ALl; KANlA; MUKERJEA; MUKH ERJEA
372,0.0,4,4,"Section 16(1); section 16(1); Chuttan vs State, A.I.R. (1950) All; City Board, Saharanpur vs Abdul Wahid, A.I.R. (1959) All"
373,0.75,4,1,[833E F] 2.1 Rule 59
374,0.8,5,1,Presidency Magistrate
375,0.75,12,3,"section 2(10); section 6; Private Security Guards (Regulation or ' Employment and Welfare) Scheme, 1981"
376,0.5714285714285714,14,6,"Bhopal; Madhya Pradesh Town Improvement Trust Act; Supreme Court; Atmaram Bhagwant vs Collector ofNagpur, A.I.R. 1929 P.C. 92; Gajapatiraju vs Rev. Divisional Officer; Mahabir Prasad Santuka vs Collector, Cuttack, [1987] 1 S.C.C. 587"
377,0.3571428571428571,14,9,Section 4(4); Sub section (1) of section 4; Sub section (2); section 2(1 '); section 2(e); section 2(f); section 2(g); sections 4(1) and 4(2); sub section
378,0.5454545454545454,11,5,"Second Schedule; Customs, Excise & Gold Control Appellate Tribu nal; Case [1977] 39 STC 75; Health ways Dairy Products Co. vs Union of India & Ors.,[1976] 2 SCC 887; Diwan Chand Chainart Lal"
379,0.7142857142857143,7,2,"April 1, 1971; Rent Control Tribunal"
380,0.33333333333333337,12,8,"I MBBS) Rules, 1985; Karnataka Medical Colleges (Selection of Candidates for Admission to; Karnataka Medical Colleges (Selection of Candidates for admission to; M.B.B.S.) Rules, 1985; P.U.C. Exami 369 nation; sub r. (5) of r. 3; A.P. Christians Medical Education Society vs Government of Andhra Pradesh, [19861 2 S.C.C. 667; G Rajendra Prasad Mathur vs Karnataka University, A.I.R."
381,0.7777777777777778,9,2,"Kerala Private Forests (Vesting and Assignment) Act, 1971 (Act 26 of 1971); Eucalyptus"
382,0.18181818181818177,11,9,"O.XX r. 11 (1 ); O.XX r. 11 (1); O.XX r. 11(1); section 140; C.P.C.; Joharimal V. Bapu Khandu; Lachhman; Surety Tukaram Khandoji; High Court Reports, 241"
383,0.6666666666666667,3,1,Bimal Kanta Mukherjee vs Messrs. Newsman 's Printing Works
384,0.7272727272727273,11,3,"I.P. C.; Prevention of Corruption Act, 1947 (Act II of 1947); Gokulchand Dwarkadas Morarka vs The King (A.I.R. 1948 P.C. 82)"
385,0.25,16,12,"O. 41 r. 33; O. 41, r. 22; O. 41, r. 33; Anath Nath vs Dwarka Nath, A.I.R. (1939) P. C. 86; AnwarJan Bibee vs Azmut Ali; Burroda Soundree Dasee v, Nobo Gopal Mullick; Ganesh Pandurang Agte vs Gangadhar Ramakrishna, (1869) 6 Bom; Ghandiprasad vs Jugul Kishore, A.I.R.; Jan Mohamed vs P. N. Razden, A.I.R.; Maharaja Tarucknath Boy vs Tuboorunissa Chowdhrain; Tirmnama vs Lakshmanan; Venkateswarulu vs Rammama,"
386,0.33333333333333337,9,6,"Madras General Sales Tax Act, 1939; section 5A (2); section I 8 A; Reliegh Investment Co. Ltd. vs Governor General in 'Council, (1947) 74 I.A. 50; Secretary of State vs Mask & Co., (1940) 67 I.A. 222; State of Andhra Pradesh vs Sri Krishna Coconut Co. (1960) 1 Andhra W.R. 279"
387,0.3939393939393939,33,20,"sections 12A to 12D; Madhya Bharat Sales Tax Act 1950; Bhailal vs State of M.P. (1960) M.P.L.J. 6011; Bharat Kala Bhandar Ltd. vs Municipal Council, Dhamangaon; C. T. Senthulnathan Chettiar vs Madras, (C.A. 1045 of 1966; Circo 's Coffee Co. vs State of Mysore, 19 S.T.C. 66 (S.C.); Deputy Commercial Tax Officer, Madras vs; Firm Illuri Subbayya Chetty & Sons; Firm Illuri Subbayya Chetty & Sons vs State of Andhra Pradesh; K. section Venkataraman vs State of Madras, [1966] 2 S.C.R. 229; Kerala vs Ramaswami Iyer & Sons; Kerala vs Ramaswami Iyer and Sons; M/s. Kamala Mills Ltd. vs State of Bombay, [1966] 1 S.C.R. 64; Pabojan Tea Co. Ltd. vs Dy; Provincial Government vs J. section Basappa, [1964] 5 S.C.R. 517; Raleigh Investment Co. case [1947] L.R. 74 I.A. 50); Rayalaseema Constructions, 17 S.T.C. 505; Secretary of State vs Mask [1940] L.R. 67 I.A. 222; State of M.P. vs Bhailal; Lakhimpur"
388,0.6428571428571428,14,5,"Purshottam Lal Dhingra vs Union of India; R. L. Butail vs Union of India; State of Bihar vs Gopi Kishore Parsad A.I.R. 1960, 689; State of Maharashtra vs Veerappa R. Saboji and Anr; State of U.P. vs Ram Chand Trivedi"
389,0.6,15,6,Art 224A; Articles 224 & 224A; articles 224 & 224A; Representation of People Act; Representation of the People Act; Zikar vs The State I.L.R.
390,0.6363636363636364,11,4,"Section 20A(1); section 20A(1); 1950 Act; Evacuee Property Act, 1950"
391,0.8,5,1,"Central Services (Pension) Rules, 1972"
392,0.25,8,6,"sub section (2 of section 39 otiose; sub section (4)(a)(i); Code of Civil Procedure; Commissioner of Sales Tax, orissa vs Chunnilal Parmeshwar Lal (1961) 12 STC 677; Motor Union Insurance Co. Ltd. vs Commissioner of Income Tax Bombay and; New India Life Assurance Co. vs Commissioner of Income Tax, Excess Profits Tax, Bombay City"
393,0.75,4,1,I.P.C.
394,0.6666666666666667,9,3,Criminal Procedure Code; P.C.; Ramesh Thappar vs State of Madras
395,0.5864661654135339,133,55,"Constitution (Twenty fifth Amendment) Act, 1971; Fortieth Constitution Amendment Act, 1976; Urban Land (Ceiling and Regulation) Act; Urban Land (Ceiling and Regulation) Act, 1976 (Act XXXIII of 1976); Urban Land (Ceiling and Regulation) Act, 1976 (XXXIII of 1976); Article 31 B and 31 C; Article 31 B and 31 C. [946 B F]; Article 31 B, [934 G H 935 A B]; Article 31 C. [906 C D,G H]; Article 31 C. [932 G H]; Article 31(1); Article 39(b)(c) 872; Article 39(c) and (b); Articles 14 and 32(2); Sub section (I) of section 27; Sub sections (2) and (3) of Section 23; section 2(f) of(t); section 23(1)""[929 F G]; sections 2(f) 23 and 11(6); sections 23(1), (2) and (3); sections 23(4); sub section ( 1) of section 27; sub section (1) (2), and (3); sub section (1), (2) and (3); sub section (6); sub section (6) of section (1); sub section (I) of Section 27; sub section (I) of section 23 865; sub section (I) or sub section (5) of section 11; sub section(1), (2) and (5) of section 23; sub sections (1) to (3) of section 23; sub sections (1) to (5); sub sections (1), (2) and (3) in section 23(4); sub sections (1), (2), (3) and (4) of section 23; sub sections (1),(2), (3); P. Sen; P.N. Bhagwati; V.D, Tulzapurkar; V.R; Y.V. Chandrachud; A.P. Krishnasami Naidu vs State of Madras [1964] 7 S.R 82; Attorney General for Alberin vs Attorney General for Canada [1947] AC 505 at 518; Excel Wear vs Union of India and Ors; H.H. Kesavananda Bharati vs State of Kerala [1973]; H.H. Kesavananda Bharati vs Union of India & Ors; H.H. Kesavananda Bharyti vs State of Kerala [1973] Supp; Indira Nehru Gandhi vs Raj Narain, [1976]2SCR 347; Karimbil Kunhikoman vs State of Kerala [1962] Supp. 1 SCR 829; Kesavanda Bharati vs State of Kerala [1972] Supp; SCR P.I; R.C. Cooper vs Union of India; State of Bihar vs Kameshwar Singh, [1952]SCR 889; State of Kerala vs Gwalior Rayan 874 Silk Manufacturing; State of Kerala vs The Gwalior Rayon Silk Mfg.Co. Ltd. [1974] I SCR 671; Union of India vs Valluri Basaviah Chowdhry; [911E 912 A C] 869"
396,0.40816326530612246,49,29,"Indian Railway Service; June 21. 1953; (I) ; 829; article 31I; article 31O; Government of India Act, 1935; Railway Code; K. Das; Per Bose; Vivian Bose; Ahmad Sheikh vs Ghulam Hassan, A.I.R. (1957) J. & K. 11; Chironjilal vs Union of India, A.I.R. (1957) Raj. 81; D. P. Ragunath vs The State of Coorg, A.I.R. (1957) Mys. 8; Engineer in Chief, Army Head Quarters vs C. A. Gupta Ram, A.I.R. (1957) Punj; Ganesh Balkrishna Deshmukh vs The State of Madhya Bharat, A.I.R. (1956) M.B. 172; Jatindra Nath Biszwas vs R. Gupta, A.I.R. (1954) 830 Cal. 383; Kanta Charan Srivastava vs Post Master General, A.I.R. (1955) Pat; Laxminarayan Chiranjilal Bhargava vs The Union of India, I.L.R. ;; M. V. Vichoray vs The State of Madhya Pradesh, A.I.R. (1952) Nag; Rabindra Nath Das vs The General Manager, Eastern Railway; Satish Chander Anand vs The Union of India, (1953) S.C.R. 655; Satish Chandya Anand vs Union of India; Shrinivas Ganesh vs Union of India, L.R. 58 Bom; Shrinvas Ganesh vs Union of India, A.I.R. (1956) Bom; Shyam Lal vs State of Uttar Pradesh; Shyam Lal vs The State of Uttar Pradesh, (1955) 1 S.C.R. 26; State of Punjab vs section Sukhbans Singh, A.I.R. (1957) Punj; Venkataraman vs The Union of India; jayanti Prasad vs The State of Uttar Pradesh, A.I.R. (1951) All"
397,0.6666666666666667,6,2,"September 9, 1974; Serajul vs State of West Bengal W.P. 2000 of 1973"
398,0.4,10,6,"section 18A and 19; West Bengal State Electricity Board Regulations; Manohar p. Kharkhar vs Raghuraj, [1981] II L L J. 459; Moti Ram Deka vs North East frontier Railway; Muley vs J. R. D. Tata and Ors., [1979] 2 section L. R. 438; Workman, Hindustan Steel Ltd. vs Hindustan Steel Ltd."
399,0.7777777777777778,9,2,"Harihar Singh vs Singh Ganga Prasad, A.I.R. 1958 Pat. 287; Harish Chandra Bajpai vs Triloki Singh"
400,0.625,8,3,"Decem ber 8, 1982; Tariff Act; Collector of Customs vs Western India Plywood Manufac turing Co. Ltd., [1989] Supp. 1 SCR 779"
401,0.6222222222222222,45,17,"Muhammadan Anglo Oriental College; Muslim University Foundation; Art, 29; Sections 13 and 14; article 19(1)(f); article 26(c) and (d); article If (6); sections 28(2) and 30(3); sections 3 and 4; Aligarh Muslim University (Amendment) Act, 1951; Aligarh Muslim University (Amendment) Act, 1965; Ordinance II of 1965; University Grants Commission Act of 1966; Durgah Committee Ajmer vs Syed Hussain Ali; Kerala Education Bill 1957, [1959] S.C.R. 995; St. David 's College, Lampeter vs Ministry of Education; L/P(N)7SCI 14 836 (4)Article 26(c) and (d)"
402,0.7222222222222222,18,5,"Sub section (2) of 9. 220; Sub section (3) of section 220; sub sections; Biswanath Ghosh vs Income tax officer, Ward, B. and Another , 374; Esthuri Aswathaiah vs Commissioner of Income fax Mysore and 416"
403,0.75,24,6,"r. 285 M; section 10 (2) (vii); Indian Income tax Act, 1322; U.P. Zanmindari Abolition and Land Reforms Act; November 10, 1985; Calcutta Electric Supply Corporation Ltd. vs Commissioner of 200 Income tax, West Bengal"
404,0.25,8,6,Bonus Act 1965; Co operative Socie ties Act; 3rd Schedule; Sec.; Sec. 66; item (4) of the 3rd Schedule
405,0.5714285714285714,7,3,Supreme Court; Gajendragadkar; Sajan Singh vs Sardara Ali D E]
